Model,MPG,Cylinders,Engine Disp,Horsepower,Weight,Accelerate,Year,Origin
amc ambassador dpl,15.0,8,390,190,3850,8.5,70,American
amc gremlin,21.0,6,199,90,2648,15.0,70,American
amc hornet,18.0,6,199,97,2774,15.5,70,American
amc rebel sst,16.0,8,304,150,3433,12.0,70,American
buick estate wagon (sw),14.0,8,455,225,3086,10.0,70,American
buick skylark 320,15.0,8,350,165,3693,11.5,70,American
chevrolet chevelle malibu,18.0,8,307,130,3504,12.0,70,American
chevrolet impala,14.0,8,454,220,4354,9.0,70,American
chevrolet monte carlo,15.0,8,400,150,3761,9.5,70,American
chevy c20,10.0,8,307,200,4376,15.0,70,American
dodge challenger se,15.0,8,383,170,3563,10.0,70,American
dodge d200,11.0,8,318,210,4382,13.5,70,American
ford f250,10.0,8,360,215,4615,14.0,70,American
ford galaxie 500,15.0,8,429,198,4341,10.0,70,American
ford maverick,21.0,6,200,85,2587,16.0,70,American
ford torino,17.0,8,302,140,3449,10.5,70,American
hi 1200d,9.0,8,304,193,4732,18.5,70,American
plymouth 'cuda 340,14.0,8,340,160,3609,8.0,70,American
plymouth duster,22.0,6,198,95,2833,15.5,70,American
plymouth fury iii,14.0,8,440,215,4312,8.5,70,American
plymouth satellite,18.0,8,318,150,3436,11.0,70,American
pontiac catalina,14.0,8,455,225,4425,10.0,70,American
audi 100 ls,24.0,4,107,90,2430,14.5,70,European
bmw 2002,26.0,4,121,113,2234,12.5,70,European
peugeot 504,25.0,4,110,87,2672,17.5,70,European
saab 99e,25.0,4,104,95,2375,17.5,70,European
volkswagen 1131 deluxe sedan,26.0,4,97,46,1835,20.5,70,European
datsun pl510,27.0,4,97,88,2130,14.5,70,Japanese
toyota corona mark ii,24.0,4,113,95,2372,15.0,70,Japanese
amc gremlin,19.0,6,232,100,2634,13.0,71,American
amc hornet sportabout (sw),18.0,6,258,110,2962,13.5,71,American
amc matador,18.0,6,232,100,3288,15.5,71,American
chevrolet chevelle malibu,17.0,6,250,100,3329,15.5,71,American
chevrolet impala,14.0,8,350,165,4209,12.0,71,American
chevrolet vega (sw),22.0,4,140,72,2408,19.0,71,American
chevrolet vega 2300,28.0,4,140,90,2264,15.5,71,American
dodge monaco (sw),12.0,8,383,180,4955,11.5,71,American
ford country squire (sw),13.0,8,400,170,4746,12.0,71,American
ford galaxie 500,14.0,8,351,153,4154,13.5,71,American
ford mustang,18.0,6,250,88,3139,14.5,71,American
ford torino 500,19.0,6,250,88,3302,15.5,71,American
mercury capri 2000,23.0,4,122,86,2220,14.0,71,American
plymouth cricket,26.0,4,91,70,1955,20.5,71,American
plymouth fury iii,14.0,8,318,150,4096,13.0,71,American
plymouth satellite custom,16.0,6,225,105,3439,15.5,71,American
pontiac catalina brougham,14.0,8,400,175,4464,11.5,71,American
pontiac firebird,19.0,6,250,100,3282,15.0,71,American
pontiac safari (sw),13.0,8,400,175,5140,12.0,71,American
fiat 124b,30.0,4,88,76,2065,14.5,71,European
opel 1900,28.0,4,116,90,2123,14.0,71,European
peugeot 304,30.0,4,79,70,2074,19.5,71,European
volkswagen model 111,27.0,4,97,60,1834,19.0,71,European
datsun 1200,35.0,4,72,69,1613,18.0,71,Japanese
datsun pl510,27.0,4,97,88,2130,14.5,71,Japanese
toyota corolla 1200,31.0,4,71,65,1773,19.0,71,Japanese
toyota corona,25.0,4,113,95,2228,14.0,71,Japanese
amc ambassador sst,17.0,8,304,150,3672,11.5,72,American
amc matador (sw),15.0,8,304,150,3892,12.5,72,American
buick lesabre custom,13.0,8,350,155,4502,13.5,72,American
chevrolet chevelle concours (sw),13.0,8,307,130,4098,14.0,72,American
chevrolet impala,13.0,8,350,165,4274,12.0,72,American
chevrolet vega,20.0,4,140,90,2408,19.5,72,American
chrysler newport royal,13.0,8,400,190,4422,12.5,72,American
dodge colt (sw),28.0,4,98,80,2164,15.0,72,American
dodge colt hardtop,25.0,4,97.5,80,2126,17.0,72,American
ford galaxie 500,14.0,8,351,153,4129,13.0,72,American
ford gran torino (sw),13.0,8,302,140,4294,16.0,72,American
ford pinto (sw),22.0,4,122,86,2395,16.0,72,American
ford pinto runabout,21.0,4,122,86,2226,16.5,72,American
mercury marquis,11.0,8,429,208,4633,11.0,72,American
