State,FIPS2,Year,Percent Obese (BMI >= 30),Percent Overweight (BMI 25.0 - 29.9),Neither overweight nor obese (BMI <= 24.9)
Alabama,01,1995,18.7,35.4,45.9
Alaska,02,1995,19.8,35.8,44.4
Arizona,04,1995,13.3,35.7,51
Arkansas,05,1995,17.5,34.8,47.7
California,06,1995,15.1,35.5,49.4
Colorado,08,1995,10.1,35.2,54.7
Connecticut,09,1995,12.5,32.8,54.7
Delaware,10,1995,17.1,38,44.9
Florida,12,1995,17.2,34.7,48.1
Georgia,13,1995,13.3,39.9,46.8
Idaho,16,1995,14.2,37.4,48.4
Illinois,17,1995,16.7,36.1,47.2
Indiana,18,1995,20.1,36.1,43.8
Iowa,19,1995,17.5,37.7,44.8
Kansas,20,1995,15.9,34.1,50
Kentucky,21,1995,16.9,35.7,47.4
Louisiana,22,1995,17.7,35.1,47.2
Maine,23,1995,14.1,37.6,48.3
Maryland,24,1995,16.3,35.8,47.9
Massachusetts,25,1995,11.7,33.4,54.9
Michigan,26,1995,18.2,37.2,44.6
Minnesota,27,1995,15.3,35.3,49.4
Mississippi,28,1995,19.5,35.1,45.4
Missouri,29,1995,18.9,36.8,44.3
Montana,30,1995,13.4,36.6,50
Nebraska,31,1995,16.3,37,46.7
Nevada,32,1995,13.3,35.1,51.6
New Hampshire,33,1995,15.1,34.3,50.6
New Jersey,34,1995,14.5,33.5,52
New Mexico,35,1995,13,36.4,50.6
New York,36,1995,13.9,35.4,50.7
North Carolina,37,1995,16.9,35.4,47.7
North Dakota,38,1995,16.4,37.3,46.3
Ohio,39,1995,17.5,35.4,47.1
Oklahoma,40,1995,13.5,35.8,50.7
Oregon,41,1995,15.2,37.1,47.7
Pennsylvania,42,1995,16.4,37.2,46.4
Rhode Island,44,1995,13.2,35.3,51.5
South Carolina,45,1995,16.7,35.5,47.8
South Dakota,46,1995,13.9,39.8,46.3
Tennessee,47,1995,18.4,35.2,46.4
Texas,48,1995,15.9,35.9,48.2
Vermont,50,1995,14.6,33,52.4
Virginia,51,1995,15.7,35.2,49.1
Washington,53,1995,13.9,35.3,50.8
West Virginia,54,1995,18.3,37.4,44.3
Wisconsin,55,1995,16,37.9,46.1
Wyoming,56,1995,14.3,34.5,51.2
Alabama,01,1996,20.5,33.7,45.8
Alaska,02,1996,17.5,36.8,45.7
Arizona,04,1996,15.1,33.6,51.3
Arkansas,05,1996,17.8,37.1,45.1
California,06,1996,14.6,36.3,49.1
Colorado,08,1996,10.3,32.2,57.5
Connecticut,09,1996,13.4,36.2,50.4
Delaware,10,1996,17.7,36.2,46.1
Florida,12,1996,16.7,35.7,47.6
Georgia,13,1996,11.5,40.4,48.1
Idaho,16,1996,16.9,34.7,48.4
Illinois,17,1996,17,35.4,47.6
Indiana,18,1996,18.6,36.3,45.1
Iowa,19,1996,18.7,35.2,46.1
Kansas,20,1996,13.4,34.5,52.1
Kentucky,21,1996,19.2,35.7,45.1
Louisiana,22,1996,19.7,35.3,45
Maine,23,1996,16.1,35.8,48.1
Maryland,24,1996,17.7,34.1,48.2
Massachusetts,25,1996,13.1,34.9,52
Michigan,26,1996,18.2,38.1,43.7
Minnesota,27,1996,14.3,39.1,46.6
Mississippi,28,1996,19.8,34.7,45.5
Missouri,29,1996,19.2,35.3,45.5
Montana,30,1996,14.3,37.9,47.8
Nebraska,31,1996,16.3,37.3,46.4
Nevada,32,1996,15.5,32.8,51.7
New Hampshire,33,1996,14.5,35.1,50.4
New Jersey,34,1996,13.5,35.4,51.1
New Mexico,35,1996,14.1,36.6,49.3
New York,36,1996,14.5,37.5,48
North Carolina,37,1996,18.1,34.9,47
North Dakota,38,1996,18.4,38,43.6
Ohio,39,1996,18.9,35.5,45.6
Oklahoma,40,1996,16.8,34.7,48.5
Oregon,41,1996,16.4,34.8,48.8
Pennsylvania,42,1996,18.7,34.4,46.9
Rhode Island,44,1996,14.3,36.7,49
South Carolina,45,1996,18.4,37.3,44.3
South Dakota,46,1996,14.7,38.7,46.6
Tennessee,47,1996,17.4,32.7,49.9
Texas,48,1996,17.2,35.7,47.1
Vermont,50,1996,14.9,34.2,50.9
Virginia,51,1996,15.9,33.4,50.7
Washington,53,1996,15.6,34.4,50
West Virginia,54,1996,19.9,36,44.1
Wisconsin,55,1996,17.1,36.4,46.5
Wyoming,56,1996,15.1,33.3,51.6
Alabama,01,1997,18.2,37.2,44.6
Alaska,02,1997,19.7,35.6,44.7
Arizona,04,1997,12.4,34.7,52.9
Arkansas,05,1997,18.1,34.5,47.4
California,06,1997,16,35.7,48.3
Colorado,08,1997,11.8,34.6,53.6
Connecticut,09,1997,14.7,37.1,48.2
Delaware,10,1997,18.8,35,46.2
Florida,12,1997,16.1,36.9,47
Georgia,13,1997,14.4,43.8,41.8
Idaho,16,1997,16.3,35.9,47.8
