FIPS,Year,State,Percent Obese (BMI >= 30)
55,2007,Wisconsin,25.3
54,2007,West Virginia,30.3
53,2007,Washington,25.9
51,2007,Virginia,25.3
50,2007,Vermont,21.9
49,2007,Utah,22.4
48,2007,Texas,28.6
47,2007,Tennessee,30.7
46,2007,South Dakota,27.2
45,2007,South Carolina,29
44,2007,Rhode Island,21.7
42,2007,Pennsylvania,27.8
41,2007,Oregon,26.3
40,2007,Oklahoma,28.8
39,2007,Ohio,28.1
38,2007,North Dakota,27
37,2007,North Carolina,28.7
36,2007,New York,25.5
35,2007,New Mexico,25.1
34,2007,New Jersey,24.1
33,2007,New Hampshire,25.1
32,2007,Nevada,24.6
31,2007,Nebraska,26.5
30,2007,Montana,22.6
33,1996,New Hampshire,14.5
55,2012,Wisconsin,29.7
29,2007,Missouri,28.2
28,2007,Mississippi,32.6
27,2007,Minnesota,26
26,2007,Michigan,28.2
54,2012,West Virginia,33.8
25,2007,Massachusetts,21.7
24,2007,Maryland,26.3
23,2007,Maine,25.2
22,2007,Louisiana,30.7
21,2007,Kentucky,28.7
20,2007,Kansas,27.7
19,2007,Iowa,27.7
18,2007,Indiana,27.4
17,2007,Illinois,25.6
16,2007,Idaho,25.1
13,2007,Georgia,28.7
12,2007,Florida,24.1
10,2007,Delaware,28.2
09,2007,Connecticut,21.7
08,2007,Colorado,19.3
06,2007,California,23.3
05,2007,Arkansas,29.3
04,2007,Arizona,25.8
02,2007,Alaska,28.2
41,2012,Oregon,27.3
40,2012,Oklahoma,32.2
39,2012,Ohio,30.1
38,2012,North Dakota,29.7
47,2012,Tennessee,31.1
36,2012,New York,23.6
45,2012,South Carolina,31.6
26,2012,Michigan,31.1
25,2012,Massachusetts,22.9
24,2012,Maryland,27.6
23,2012,Maine,28.4
22,2012,Louisiana,34.7
21,2012,Kentucky,31.3
20,2012,Kansas,29.9
19,2012,Iowa,30.4
18,2012,Indiana,31.4
17,2012,Illinois,28.1
16,2012,Idaho,26.8
13,2012,Georgia,29.1
12,2012,Florida,25.2
10,2012,Delaware,26.9
09,2012,Connecticut,25.6
08,2012,Colorado,20.5
06,2012,California,25
05,2012,Arkansas,34.5
04,2012,Arizona,26
02,2012,Alaska,25.7
01,2012,Alabama,33
56,2011,Wyoming,25
55,2011,Wisconsin,27.7
54,2011,West Virginia,32.4
53,2011,Washington,26.5
51,2011,Virginia,29.2
50,2011,Vermont,25.4
49,2011,Utah,24.4
48,2011,Texas,30.4
47,2011,Tennessee,29.2
46,2011,South Dakota,28.1
45,2011,South Carolina,30.8
44,2011,Rhode Island,25.4
42,2011,Pennsylvania,28.6
41,2011,Oregon,26.7
40,2011,Oklahoma,31.1
39,2011,Ohio,29.7
38,2011,North Dakota,27.8
37,2011,North Carolina,29.1
36,2011,New York,24.5
35,2011,New Mexico,26.3
34,2011,New Jersey,23.7
33,2011,New Hampshire,26.2
32,2011,Nevada,24.5
31,2011,Nebraska,28.4
30,2011,Montana,24.6
29,2011,Missouri,30.3
28,2011,Mississippi,34.9
27,2011,Minnesota,25.7
26,2011,Michigan,31.3
25,2011,Massachusetts,22.7
24,2011,Maryland,28.3
23,2011,Maine,27.8
31,1996,Nebraska,16.3
35,2012,New Mexico,27.1
34,2012,New Jersey,24.6
33,2012,New Hampshire,27.3
32,2012,Nevada,26.2
31,2012,Nebraska,28.6
30,2012,Montana,24.3
44,2012,Rhode Island,25.7
28,2012,Mississippi,34.6
