FIPS2,State,Year,PercentObese
01,Alabama,1995,18.7
13,Georgia,1995,13.3
16,Idaho,1995,14.2
17,Illinois,1995,16.7
18,Indiana,1995,20.1
19,Iowa,1995,17.5
20,Kansas,1995,15.9
21,Kentucky,1995,16.9
22,Louisiana,1995,17.7
23,Maine,1995,14.1
24,Maryland,1995,16.3
02,Alaska,1995,19.8
25,Massachusetts,1995,11.7
26,Michigan,1995,18.2
27,Minnesota,1995,15.3
28,Mississippi,1995,19.5
29,Missouri,1995,18.9
30,Montana,1995,13.4
31,Nebraska,1995,16.3
32,Nevada,1995,13.3
33,New Hampshire,1995,15.1
34,New Jersey,1995,14.5
04,Arizona,1995,13.3
35,New Mexico,1995,13
36,New York,1995,13.9
37,North Carolina,1995,16.9
38,North Dakota,1995,16.4
39,Ohio,1995,17.5
40,Oklahoma,1995,13.5
41,Oregon,1995,15.2
42,Pennsylvania,1995,16.4
44,Rhode Island,1995,13.2
45,South Carolina,1995,16.7
05,Arkansas,1995,17.5
46,South Dakota,1995,13.9
47,Tennessee,1995,18.4
48,Texas,1995,15.9
50,Vermont,1995,14.6
51,Virginia,1995,15.7
53,Washington,1995,13.9
54,West Virginia,1995,18.3
55,Wisconsin,1995,16
56,Wyoming,1995,14.3
06,California,1995,15.1
08,Colorado,1995,10.1
09,Connecticut,1995,12.5
10,Delaware,1995,17.1
12,Florida,1995,17.2
01,Alabama,1996,20.5
02,Alaska,1996,17.5
04,Arizona,1996,15.1
05,Arkansas,1996,17.8
06,California,1996,14.6
08,Colorado,1996,10.3
09,Connecticut,1996,13.4
10,Delaware,1996,17.7
12,Florida,1996,16.7
13,Georgia,1996,11.5
16,Idaho,1996,16.9
17,Illinois,1996,17
18,Indiana,1996,18.6
19,Iowa,1996,18.7
20,Kansas,1996,13.4
21,Kentucky,1996,19.2
22,Louisiana,1996,19.7
23,Maine,1996,16.1
24,Maryland,1996,17.7
25,Massachusetts,1996,13.1
26,Michigan,1996,18.2
27,Minnesota,1996,14.3
28,Mississippi,1996,19.8
29,Missouri,1996,19.2
30,Montana,1996,14.3
31,Nebraska,1996,16.3
32,Nevada,1996,15.5
33,New Hampshire,1996,14.5
34,New Jersey,1996,13.5
35,New Mexico,1996,14.1
36,New York,1996,14.5
37,North Carolina,1996,18.1
38,North Dakota,1996,18.4
39,Ohio,1996,18.9
40,Oklahoma,1996,16.8
41,Oregon,1996,16.4
42,Pennsylvania,1996,18.7
44,Rhode Island,1996,14.3
45,South Carolina,1996,18.4
46,South Dakota,1996,14.7
47,Tennessee,1996,17.4
48,Texas,1996,17.2
50,Vermont,1996,14.9
51,Virginia,1996,15.9
53,Washington,1996,15.6
54,West Virginia,1996,19.9
55,Wisconsin,1996,17.1
56,Wyoming,1996,15.1
05,Arkansas,1997,18.1
06,California,1997,16
08,Colorado,1997,11.8
09,Connecticut,1997,14.7
10,Delaware,1997,18.8
12,Florida,1997,16.1
13,Georgia,1997,14.4
16,Idaho,1997,16.3
17,Illinois,1997,17.1
18,Indiana,1997,21.2
19,Iowa,1997,19.4
20,Kansas,1997,14.7
21,Kentucky,1997,21.8
22,Louisiana,1997,19.6
23,Maine,1997,16.2
24,Maryland,1997,17.5
25,Massachusetts,1997,14.8
26,Michigan,1997,19.3
